Rank,Country,sq_km,zoom_score,projection,ISO-3
1,Russia,16380000,1,3,RUS
2,China,9330000,0.569597017,6.012820881,CHN
3,United States,9160000,0.5592185054,6.085470462,USA
4,Canada,9090000,0.5549450006,6.115384996,CAN
5,Brazil,8460000,0.5164834574,6.384615798,BRA
6,Australia,7680000,0.468864404,6.717949172,AUS
8,India,2970000,0.1813185814,8.73076993,IND
9,Argentina,2740000,0.1672770656,8.829060541,ARG
10,Kazakhstan,2700000,0.1648350629,8.84615456,KAZ
11,Algeria,2380000,0.1452990409,8.982906713,DZA
12,Sudan,2380000,0.1452990409,8.982906713,SDN
13,Democratic Republic of the Congo,2270000,0.1385835334,9.029915266,COD
14,Saudi Arabia,2000000,0.1221000149,9.145299896,SAU
15,Mexico,1940000,0.1184370108,9.170940924,MEX
16,Indonesia,1810000,0.1105005019,9.226496487,IDN
17,Libya,1760000,0.1074479985,9.247864011,LBY
18,Mongolia,1550000,0.09462748408,9.337607611,MNG
19,Peru,1280000,0.07814396559,9.452992241,PER
20,Niger,1270000,0.0775334649,9.457265746,NER
21,Chad,1260000,0.07692296422,9.46153925,TCD
22,Angola,1250000,0.07631246353,9.465812755,AGO
23,Mali,1220000,0.07448096148,9.47863327,MLI
24,South Africa,1210000,0.07387046079,9.482906774,ZAF
25,Colombia,1110000,0.06776545394,9.525641822,COL
26,Bolivia,1080000,0.06593395188,9.538462337,BOL
27,Mauritania,1030000,0.06288144846,9.559829861,MRT
28,Ethiopia,1000000,0.0610499464,9.572650375,ETH
29,Nigeria,910770,0.05560244879,9.610782858,NGA
30,Tanzania,885800,0.05407802858,9.6214538,TZA
31,Venezuela,882050,0.05384909082,9.623056364,VEN
32,Namibia,823290,0.0502617888,9.648167478,NAM
33,Mozambique,786380,0.04800843077,9.663940985,MOZ
34,Pakistan,770880,0.04706215471,9.670564917,PAK
35,Turkey,769630,0.04698584212,9.671099105,TUR
36,Chile,743800,0.04540891885,9.682137568,CHL
37,Zambia,743390,0.04538388833,9.682312782,ZMB
38,Burma,653520,0.03989731867,9.720718769,MMR
39,Afghanistan,652230,0.03981856408,9.721270051,AFG
40,Somalia,627340,0.03829902788,9.731906805,SOM
41,Central African Republic,623000,0.03803407058,9.733761506,CAF
42,Madagascar,581540,0.03550293474,9.751479457,MDG
43,Ukraine,579330,0.03536801409,9.752423901,UKR
44,Kenya,569140,0.03474591389,9.756778603,KEN
45,Botswana,566730,0.03459878322,9.757808517,BWA
46,France,547660,0.03343455842,9.765958091,FRA
47,Thailand,510890,0.0311897474,9.781671768,THA
48,Spain,498980,0.03046264108,9.786761512,ESP
49,Cameroon,472710,0.02885885578,9.79798801,CMR
50,Turkmenistan,469930,0.02868913659,9.799176044,TKM
51,Papua New Guinea,452860,0.02764701192,9.806470917,PNG
52,Morocco,446300,0.02724652347,9.809274336,MAR
53,Iraq,437370,0.02670134636,9.813090575,IRQ
54,Uzbekistan,425400,0.02597057704,9.818205961,UZB
55,Greenland,410450,0.02505787852,9.82459485,GRL
56,Sweden,410330,0.02505055251,9.824646132,SWE
57,Paraguay,397300,0.02425507012,9.830214509,PRY
58,Zimbabwe,386850,0.0236170969,9.834680322,ZWE
59,Japan,364500,0.02225262787,9.844231605,JPN
60,Germany,348770,0.02129231029,9.850953828,DEU
61,"Congo, Republic of the",341500,0.02084847629,9.854060666,COG
62,Malaysia,328550,0.02005787791,9.859594855,MYS
63,Cote d'Ivoire,318000,0.01941379968,9.864103402,CIV
64,Vietnam,310070,0.01892967264,9.867492292,VNM
65,Oman,309500,0.0188948741,9.867735881,OMN
66,Norway,304280,0.01857619274,9.869966651,NOR
67,Poland,304250,0.01857436124,9.869979471,POL
68,Finland,304090,0.01856459323,9.870047847,FIN
69,Philippines,298170,0.01820317683,9.872577762,PHL
70,Italy,294140,0.01795714505,9.874299985,ITA
71,Ecuador,276840,0.01690097886,9.881693148,ECU
72,Burkina Faso,273600,0.01670317664,9.883077764,BFA
73,New Zealand,267710,0.01634359174,9.885594858,NZL
74,Gabon,257670,0.01573064905,9.889885457,GAB
75,Guinea,245720,0.01500110073,9.894992295,GIN
76,United Kingdom,241930,0.01476972097,9.896611953,GBR
77,Laos,230800,0.01409023371,9.901368364,LAO
78,Romania,229890,0.01403467815,9.901757253,ROU
79,Ghana,227540,0.01389121049,9.902761527,GHA
80,Belarus,202900,0.0123869368,9.913291442,BLR
81,Uganda,197100,0.0120328464,9.915770075,UGA
82,Guyana,196850,0.01201758388,9.915876913,GUY
83,Senegal,192530,0.01175384759,9.917723067,SEN
84,Kyrgyzstan,191800,0.01170928104,9.918035033,KGZ
85,Syria,183630,0.01121050198,9.921526486,SYR
86,Cambodia,176520,0.01077643599,9.924564948,KHM
87,Uruguay,175020,0.01068486089,9.925205974,URY
88,Suriname,156000,0.009523688587,9.93333418,SUR
89,Tunisia,155360,0.009484616543,9.933607684,TUN
90,Nepal,143350,0.00875140522,9.938740163,NPL
91,Tajikistan,139960,0.008544445488,9.940188882,TJK
92,Bangladesh,130170,0.007946765317,9.944372643,BGD
93,Greece,128900,0.00786923173,9.944915378,GRC
94,Nicaragua,119990,0.00732527562,9.948723071,NIC
95,Honduras,111890,0.006830770065,9.95218461,HND
96,Benin,110620,0.006753236478,9.952727345,BEN
97,Cuba,109820,0.006704396423,9.953069225,CUB
98,Bulgaria,108610,0.00663052584,9.953586319,BGR
99,Guatemala,107160,0.006542003241,9.954205977,GTM
100,Eritrea,101000,0.006165934819,9.956838456,ERI
101,Iceland,100250,0.006120147267,9.957158969,ISL
102,Liberia,96320,0.005880220498,9.958838457,LBR
103,Malawi,94080,0.005743468345,9.959795722,MWI
104,Portugal,91500,0.005585959168,9.960898286,PRT
105,Hungary,89610,0.005470574539,9.961705978,HUN
107,Jordan,88240,0.005386935945,9.962291448,JOR
108,United Arab Emirates,83600,0.005103663627,9.964274355,ARE
109,Azerbaijan,82629,0.00504438401,9.964689312,AZE
110,Austria,82450,0.005033456048,9.964765808,AUT
111,Czech Republic,77250,0.004715995692,9.96698803,CZE
112,Panama,74340,0.004538339992,9.96823162,PAN
113,Sierra Leone,71620,0.004372283806,9.969394013,SLE
114,Georgia,69490,0.00424224716,9.97030427,GEO
115,Ireland,68890,0.004205617119,9.97056068,IRL
116,Sri Lanka,64630,0.003945543827,9.972381193,LKA
117,Lithuania,62680,0.003826496194,9.973214527,LTU
118,Latvia,62250,0.003800244664,9.973398287,LVA
119,Togo,54390,0.003320391126,9.976757262,TGO
120,Croatia,53910,0.003291087093,9.97696239,HRV
121,Bosnia and Herzegovina,51200,0.003125641407,9.97812051,BIH
122,Costa Rica,51060,0.003117094398,9.978180339,CRI
123,Dominican Republic,48320,0.00294981721,9.97935128,DOM
124,Slovakia,48100,0.002936386195,9.979445297,SVK
125,Denmark,42430,0.002590232306,9.981868374,DNK
126,Estonia,42390,0.002587790304,9.981885468,EST
127,Switzerland,40000,0.00244188064,9.982906836,CHE
128,Bhutan,38394,0.00234383423,9.98359316,BTN
129,Netherlands,33760,0.002060928213,9.985573503,NLD
130,Moldova,32890,0.002007814653,9.985945297,MDA
131,Lesotho,30350,0.001852747479,9.987030768,LSO
132,Belgium,30280,0.001848473974,9.987060682,BEL
133,Armenia,28200,0.001721489832,9.987949571,ARM
134,Guinea-Bissau,28120,0.001716605826,9.987983759,GNB
135,Equatorial Guinea,28050,0.001712332321,9.988013674,GNQ
136,Solomon Islands,27990,0.001708669317,9.988039315,SLB
137,Haiti,27560,0.001682417788,9.988223075,HTI
138,Albania,27400,0.001672649777,9.988291452,ALB
139,Burundi,25680,0.001567643659,9.989026494,BDI
140,Rwanda,24670,0.00150598309,9.989458118,RWA
141,Djibouti,23180,0.001415018488,9.990094871,DJI
142,Belize,22810,0.001392429962,9.99025299,BLZ
143,Israel,21640,0.001321001382,9.99075299,ISR
144,El Salvador,20720,0.001264835319,9.991146153,SLV
145,Slovenia,20140,0.00122942628,9.991394016,SVN
146,New Caledonia,18280,0.001115873152,9.992188888,NCL
147,Fiji,18270,0.001115262651,9.992193161,FJI
148,Kuwait,17820,0.001087790121,9.992385469,KWT
149,Swaziland,17200,0.001049939078,9.992650426,SWZ
150,East Timor,14870,0.0009076924185,9.993646153,TLS
151,Vanuatu,12190,0.0007440782349,9.994791452,VUT
152,Qatar,11590,0.0007074481938,9.995047863,QAT
153,Jamaica,10830,0.0006610501418,9.995372649,JAM
154,Lebanon,10230,0.0006244201007,9.995629059,LBN
155,The Bahamas,10010,0.0006109890856,9.995723076,BHS
156,Gambia,10000,0.0006103785849,9.99572735,GMB
157,Cyprus,9240,0.0005639805328,9.996052136,CYP
158,Puerto Rico,8870,0.0005413920075,9.996210256,PRI
159,Brunei,5270,0.0003216117609,9.997748718,BRN
160,Trinidad and Tobago,5130,0.0003130647513,9.997808547,TTO
161,Cape Verde,4030,0.0002459096759,9.998278632,CPV
162,French Polynesia,3660,0.0002233211506,9.998436752,PYF
163,Samoa,2830,0.0001726495937,9.998791453,WSM
164,Luxembourg,2590,0.0001579975773,9.998894017,LUX
165,Mauritius,2030,0.0001238095389,9.999133333,MUS
166,Comoros,1860,0.0001134310273,9.999205983,COM
167,Faroe Islands,1400,0.00008534799577,9.999402564,FRO
168,Sao Tome and Principe,960,0.00005848596563,9.999590598,STP
169,Turks and Caicos Islands,950,0.00005787546494,9.999594872,TCA
170,Kiribati,810,0.00004932845535,9.999654701,KIR
171,Netherlands Antilles,800,0.00004871795467,9.999658974,ANT
172,Dominica,750,0.00004566545124,9.999680342,DMA
173,Tonga,720,0.00004383394919,9.999693162,TON
174,Bahrain,710,0.0000432234485,9.999697436,BHR
175,Singapore,697,0.00004242979761,9.999702991,SGP
176,Saint Lucia,610,0.00003711844165,9.999740171,LCA
177,Guam,540,0.00003284493686,9.999770085,GUM
178,Seychelles,460,0.00002796093137,9.999804273,SYC
178,Northern Mariana Islands,460,0.00002796093137,9.999804273,MNP
178,Palau,460,0.00002796093137,9.999804273,PLW
181,Antigua and Barbuda,440,0.00002673993,9.99981282,ATG
182,Barbados,430,0.00002612942932,9.999817094,BRB
183,Saint Vincent and the Grenadines,390,0.00002368742658,9.999834188,VCT
184,Mayotte,374,0.00002271062548,9.999841026,MYT
185,Virgin Islands,350,0.00002124542384,9.999851282,VIR
186,Grenada,340,0.00002063492315,9.999855556,GRD
187,Malta,320,0.00001941392178,9.999864103,MLT
188,Maldives,300,0.00001819292041,9.99987265,MDV
189,Cayman Islands,260,0.00001575091767,9.999889744,CYM
189,Saint Kitts and Nevis,260,0.00001575091767,9.999889744,KNA
191,American Samoa,200,0.00001208791356,9.999915385,ASM
192,Marshall Islands,180,0.00001086691219,9.999923932,MHL
192,Aruba,180,0.00001086691219,9.999923932,ABW
194,Liechtenstein,160,0.000009645910824,9.999932479,LIE
195,San Marino,60,0.000003540903973,9.999975214,SMR
196,Bermuda,50,0.000002930403288,9.999979487,BMU
197,Tuvalu,30,0.000001709401918,9.999988034,TUV
198,Gibraltar,10,0.000000488400548,9.999996581,GIB
199,Monaco,2,0,10,MCO
,Serbia,88361,0.005394323003,9.962239739,SRB
,Montenegro,13812,0.000843101446,9.99409829,MNE